Geneid,0_R1,0_R2,0_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,15_R1,15_R2,15_R3,Entity,Symbol
gene-PA2290,,,121.0,,,295.0,,,29.0,37.0,16.0,360.0,host,gcd
gene-PA3088,54.0,84.0,36.0,51.0,64.0,153.0,17.0,18.0,19.0,5.0,4.0,221.0,host,gene-PA3088
gene-PA0430,163.0,203.0,170.0,,359.0,371.0,51.0,,28.0,21.0,17.0,193.0,host,metF
gene-PA4308,343.0,283.0,80.0,128.0,189.0,309.0,39.0,39.0,36.0,36.0,24.0,476.0,host,gene-PA4308
gene-PA0527.1,,,,,,399.0,,,,,,146.0,host,rsmY
gene-PA1664,2.0,3.0,25.0,2.0,4.0,40.0,0.0,1.0,6.0,4.0,1.0,22.0,host,gene-PA1664
gene-PA3738,25.0,26.0,35.0,18.0,28.0,183.0,2.0,3.0,26.0,3.0,1.0,147.0,host,xerD
gene-PA2029,23.0,39.0,17.0,15.0,14.0,75.0,6.0,2.0,14.0,2.0,2.0,68.0,host,gene-PA2029
gene-PA4085,6.0,10.0,,3.0,7.0,217.0,0.0,1.0,32.0,0.0,1.0,111.0,host,cupB2
gene-PA3760,30.0,29.0,37.0,7.0,21.0,188.0,7.0,6.0,32.0,2.0,2.0,341.0,host,gene-PA3760
gene-PA1501,46.0,39.0,21.0,18.0,18.0,161.0,2.0,3.0,15.0,4.0,5.0,283.0,host,gene-PA1501
gene-PA0771,159.0,226.0,,,,245.0,45.0,60.0,27.0,25.0,18.0,101.0,host,era
gene-PA2611,330.0,217.0,86.0,,365.0,183.0,54.0,38.0,9.0,24.0,20.0,192.0,host,cysG
gene-PA4300,27.0,14.0,20.0,16.0,32.0,,8.0,5.0,15.0,7.0,4.0,370.0,host,tadC
gene-PPLUZ19_gp36,0.0,0.0,32.0,,,,55.0,,,,,,phage,gp36
gene-PA4008,21.0,8.0,20.0,13.0,15.0,155.0,2.0,1.0,18.0,0.0,5.0,198.0,host,gene-PA4008
gene-PA4214,8.0,90.0,,8.0,206.0,367.0,2.0,27.0,41.0,9.0,2.0,421.0,host,phzE1
gene-PA4694,,,,,,,,,39.0,,,157.0,host,ilvC
gene-PA5103,60.0,40.0,50.0,21.0,28.0,199.0,2.0,7.0,31.0,1.0,3.0,265.0,host,gene-PA5103
gene-PA2972,35.0,44.0,37.0,75.0,105.0,172.0,15.0,13.0,13.0,4.0,6.0,75.0,host,gene-PA2972
gene-PA5432,1.0,3.0,18.0,2.0,8.0,116.0,0.0,4.0,7.0,1.0,1.0,237.0,host,gene-PA5432
gene-PA3512,6.0,7.0,22.0,5.0,6.0,135.0,2.0,1.0,15.0,0.0,1.0,221.0,host,gene-PA3512
gene-PA5095,25.0,37.0,37.0,25.0,25.0,207.0,6.0,6.0,26.0,0.0,1.0,241.0,host,gene-PA5095
gene-PPLUZ19_gp16,0.0,0.0,97.0,5.0,8.0,,,,,,,,phage,gp16
gene-PA0035,52.0,43.0,40.0,23.0,33.0,149.0,1.0,4.0,16.0,6.0,2.0,177.0,host,trpA
gene-PA2709,241.0,172.0,99.0,109.0,102.0,217.0,21.0,26.0,20.0,9.0,3.0,214.0,host,cysK
gene-PA1304,83.0,74.0,46.0,62.0,92.0,280.0,9.0,18.0,32.0,11.0,8.0,,host,gene-PA1304
gene-PA0803,30.0,34.0,19.0,22.0,42.0,57.0,3.0,9.0,7.0,3.0,4.0,148.0,host,gene-PA0803
gene-PA4870,5.0,8.0,25.0,6.0,12.0,71.0,5.0,2.0,23.0,0.0,0.0,82.0,host,gene-PA4870
gene-PA2594,16.0,25.0,21.0,19.0,19.0,109.0,2.0,5.0,19.0,4.0,2.0,160.0,host,gene-PA2594
gene-PA0495,42.0,42.0,23.0,18.0,29.0,168.0,6.0,5.0,19.0,4.0,2.0,136.0,host,gene-PA0495
gene-PA1915,83.0,79.0,39.0,30.0,40.0,198.0,11.0,7.0,20.0,7.0,7.0,298.0,host,gene-PA1915
gene-PPLUZ19_gp40,0.0,0.0,4.0,97.0,195.0,,14.0,69.0,,,,,phage,gp40
gene-PA0045,86.0,183.0,197.0,,344.0,457.0,,,69.0,,,148.0,host,gene-PA0045
gene-PA5320,163.0,170.0,,101.0,164.0,290.0,29.0,14.0,,21.0,11.0,244.0,host,coaC
gene-PA4147,93.0,34.0,,21.0,38.0,215.0,4.0,10.0,33.0,3.0,3.0,352.0,host,acoR
gene-PA3417,25.0,9.0,17.0,4.0,9.0,74.0,3.0,1.0,5.0,2.0,1.0,195.0,host,gene-PA3417
gene-PA2962,88.0,74.0,20.0,73.0,114.0,96.0,7.0,20.0,6.0,5.0,7.0,100.0,host,tmk
gene-PA5216,149.0,173.0,52.0,28.0,39.0,209.0,4.0,5.0,44.0,8.0,3.0,313.0,host,gene-PA5216
gene-PA0887,,,68.0,,,344.0,,,44.0,,,,host,acsA
gene-PA1281,5.0,6.0,12.0,4.0,8.0,43.0,0.0,2.0,3.0,1.0,0.0,72.0,host,cobV
gene-PA2037,48.0,67.0,122.0,28.0,56.0,,5.0,12.0,53.0,5.0,2.0,372.0,host,gene-PA2037
gene-PA2057,14.0,16.0,34.0,5.0,6.0,216.0,4.0,0.0,22.0,1.0,1.0,289.0,host,gene-PA2057
gene-PPLUZ19_gp44,0.0,0.0,0.0,48.0,58.0,,9.0,39.0,,,,,phage,gp44
gene-PA2279,8.0,4.0,12.0,4.0,10.0,92.0,2.0,3.0,9.0,2.0,2.0,230.0,host,arsC
gene-PA4180,122.0,93.0,161.0,58.0,42.0,342.0,14.0,6.0,38.0,3.0,10.0,378.0,host,gene-PA4180
gene-PA2433,14.0,9.0,6.0,13.0,13.0,69.0,4.0,1.0,6.0,0.0,2.0,98.0,host,gene-PA2433
gene-PA4222,213.0,173.0,,124.0,180.0,393.0,52.0,55.0,54.0,7.0,7.0,157.0,host,gene-PA4222
gene-PA3526,104.0,86.0,41.0,81.0,97.0,104.0,15.0,23.0,13.0,11.0,6.0,114.0,host,gene-PA3526
gene-PA1143,11.0,6.0,5.0,3.0,2.0,60.0,1.0,1.0,2.0,1.0,0.0,65.0,host,gene-PA1143
gene-PA5496,84.0,130.0,108.0,60.0,114.0,186.0,4.0,13.0,18.0,11.0,1.0,78.0,host,nrdJb
gene-PA5428,56.0,34.0,64.0,25.0,27.0,160.0,8.0,9.0,20.0,3.0,2.0,479.0,host,gene-PA5428
gene-PA2908,32.0,20.0,8.0,17.0,24.0,59.0,5.0,6.0,11.0,0.0,2.0,127.0,host,cbiD
gene-PA0435,20.0,14.0,21.0,16.0,37.0,187.0,3.0,4.0,14.0,2.0,1.0,389.0,host,gene-PA0435
gene-PA1259,14.0,6.0,21.0,3.0,4.0,122.0,0.0,2.0,19.0,2.0,1.0,173.0,host,gene-PA1259
gene-PA3303,27.0,19.0,27.0,12.0,17.0,162.0,5.0,2.0,27.0,2.0,0.0,196.0,host,gene-PA3303
gene-PA5542,,262.0,84.0,240.0,334.0,286.0,37.0,31.0,42.0,6.0,7.0,321.0,host,gene-PA5542
gene-PA5167,,,,,,357.0,,,48.0,21.0,28.0,184.0,host,gene-PA5167
gene-PA5354,6.0,6.0,20.0,1.0,4.0,62.0,0.0,0.0,,0.0,0.0,108.0,host,glcE
gene-PPLUZ19_gp48,0.0,0.0,0.0,150.0,232.0,,32.0,,,,,,phage,gp48
gene-PA1831,81.0,138.0,39.0,88.0,94.0,146.0,18.0,23.0,24.0,11.0,8.0,155.0,host,gene-PA1831
gene-PA1023,51.0,58.0,39.0,33.0,34.0,170.0,6.0,3.0,16.0,1.0,0.0,291.0,host,gene-PA1023
gene-PA3303a,9.0,11.0,3.0,9.0,7.0,61.0,0.0,1.0,5.0,0.0,0.0,67.0,host,gene-PA3303a
gene-PA3368,12.0,16.0,23.0,13.0,26.0,91.0,3.0,5.0,12.0,2.0,0.0,103.0,host,gene-PA3368
gene-PA1542,8.0,12.0,23.0,6.0,25.0,145.0,6.0,2.0,16.0,1.0,1.0,78.0,host,gene-PA1542
gene-PA5039,,,99.0,,370.0,141.0,47.0,27.0,17.0,17.0,20.0,89.0,host,aroK
gene-PA0516,12.0,7.0,32.0,4.0,5.0,237.0,3.0,1.0,19.0,1.0,1.0,478.0,host,nirF
gene-PA0955,211.0,183.0,66.0,206.0,289.0,230.0,40.0,45.0,16.0,29.0,18.0,158.0,host,gene-PA0955
gene-PA1947,74.0,52.0,22.0,69.0,89.0,96.0,12.0,9.0,13.0,2.0,4.0,171.0,host,rbsA
gene-PA0668.3,241.0,,,236.0,,,,,,,,235.0,host,gene-PA0668.3
gene-PA3110,95.0,118.0,58.0,170.0,263.0,124.0,47.0,40.0,10.0,20.0,12.0,76.0,host,gene-PA3110
gene-PA0542,182.0,101.0,132.0,51.0,88.0,185.0,14.0,16.0,18.0,6.0,5.0,217.0,host,gene-PA0542
gene-PA5193,121.0,140.0,50.0,71.0,127.0,216.0,21.0,23.0,22.0,21.0,10.0,342.0,host,yrfI
gene-PA2231,45.0,60.0,52.0,47.0,75.0,254.0,11.0,7.0,33.0,4.0,7.0,233.0,host,pslA
gene-PA1870,3.0,13.0,6.0,2.0,9.0,71.0,1.0,2.0,8.0,4.0,0.0,93.0,host,gene-PA1870
gene-PA4977,45.0,48.0,32.0,37.0,88.0,181.0,4.0,5.0,32.0,1.0,3.0,260.0,host,aruI
gene-PA2659,75.0,86.0,21.0,57.0,68.0,81.0,14.0,25.0,7.0,5.0,7.0,50.0,host,gene-PA2659
gene-PA0358,17.0,23.0,24.0,32.0,51.0,140.0,10.0,15.0,20.0,4.0,2.0,137.0,host,gene-PA0358
gene-PA2692,45.0,21.0,9.0,25.0,24.0,79.0,9.0,5.0,6.0,7.0,0.0,198.0,host,gene-PA2692
gene-PA2922,3.0,1.0,22.0,0.0,3.0,167.0,0.0,0.0,16.0,0.0,1.0,214.0,host,gene-PA2922
gene-PA5149.1,105.0,156.0,20.0,29.0,56.0,197.0,6.0,9.0,41.0,5.0,6.0,75.0,host,gene-PA5149.1
gene-PA3314,19.0,17.0,12.0,8.0,15.0,38.0,6.0,5.0,5.0,5.0,3.0,91.0,host,gene-PA3314
gene-PA3079,,,97.0,,,388.0,,,37.0,,,421.0,host,gene-PA3079
gene-PA0710,3.0,5.0,134.0,3.0,0.0,70.0,0.0,0.0,38.0,0.0,0.0,143.0,host,gloA2
gene-PA4439,163.0,140.0,66.0,115.0,137.0,224.0,25.0,26.0,31.0,13.0,12.0,231.0,host,trpS
gene-PA0332,29.0,42.0,6.0,27.0,37.0,52.0,7.0,10.0,3.0,4.0,1.0,39.0,host,gene-PA0332
gene-PA0626,121.0,101.0,78.0,98.0,162.0,224.0,,,60.0,,,200.0,host,gene-PA0626
gene-PA4721,117.0,144.0,44.0,54.0,71.0,163.0,7.0,11.0,14.0,6.0,6.0,215.0,host,gene-PA4721
gene-PA1031,,,150.0,154.0,251.0,314.0,33.0,50.0,59.0,33.0,13.0,,host,gene-PA1031
gene-PA2102,29.0,44.0,37.0,14.0,19.0,100.0,2.0,1.0,15.0,1.0,1.0,34.0,host,gene-PA2102
gene-PA2936,1.0,3.0,6.0,1.0,5.0,70.0,0.0,0.0,7.0,0.0,2.0,73.0,host,gene-PA2936
gene-PA5408,64.0,21.0,8.0,17.0,22.0,44.0,4.0,4.0,3.0,1.0,0.0,91.0,host,gene-PA5408
gene-PA0793,,152.0,,236.0,193.0,241.0,25.0,16.0,,8.0,12.0,306.0,host,gene-PA0793
gene-PA1373,19.0,8.0,23.0,15.0,16.0,99.0,3.0,8.0,11.0,4.0,1.0,155.0,host,fabF2
gene-PA3617,,,222.0,,,358.0,,,29.0,,,197.0,host,recA
gene-PA1013,,,147.0,,,272.0,,,25.0,,,98.0,host,purC
gene-PA2800,267.0,,131.0,,,285.0,,,26.0,,,100.0,host,gene-PA2800
gene-PA3109,61.0,71.0,20.0,66.0,117.0,82.0,20.0,22.0,12.0,11.0,10.0,95.0,host,gene-PA3109
gene-PA0499,37.0,27.0,40.0,15.0,20.0,245.0,5.0,4.0,26.0,4.0,3.0,217.0,host,gene-PA0499
gene-PA1022,68.0,69.0,44.0,49.0,53.0,,9.0,7.0,20.0,9.0,4.0,273.0,host,gene-PA1022
gene-PA2932,11.0,5.0,24.0,1.0,4.0,120.0,2.0,2.0,20.0,1.0,0.0,238.0,host,morB
gene-PA3652,349.0,,184.0,248.0,358.0,361.0,,,34.0,,,158.0,host,uppS
gene-PA2109,48.0,2.0,4.0,53.0,15.0,39.0,6.0,5.0,8.0,1.0,2.0,117.0,host,gene-PA2109
gene-PA1528,,,234.0,,,328.0,,,44.0,,,166.0,host,zipA
gene-PA1364,81.0,51.0,14.0,5.0,6.0,87.0,1.0,4.0,19.0,1.0,1.0,176.0,host,gene-PA1364
gene-PA0163,24.0,17.0,33.0,6.0,10.0,213.0,3.0,2.0,16.0,3.0,1.0,400.0,host,gene-PA0163
gene-PA2021,5.0,8.0,2.0,4.0,8.0,27.0,4.0,2.0,1.0,0.0,0.0,65.0,host,gene-PA2021
gene-PA3208,40.0,30.0,7.0,29.0,32.0,35.0,9.0,7.0,7.0,7.0,0.0,49.0,host,gene-PA3208
gene-PA2258,8.0,11.0,13.0,4.0,11.0,129.0,0.0,4.0,9.0,0.0,0.0,170.0,host,ptxR
gene-PA3581,24.0,31.0,20.0,44.0,74.0,160.0,5.0,5.0,18.0,3.0,0.0,307.0,host,glpF
gene-PA4551,50.0,57.0,,62.0,82.0,269.0,10.0,12.0,,5.0,2.0,88.0,host,pilV
gene-PA4926,29.0,19.0,19.0,13.0,23.0,134.0,1.0,4.0,26.0,1.0,2.0,160.0,host,gene-PA4926
gene-PA5452,,,136.0,,,344.0,54.0,54.0,38.0,9.0,22.0,301.0,host,wbpW
gene-PA1885,29.0,19.0,17.0,3.0,6.0,36.0,2.0,3.0,6.0,0.0,0.0,94.0,host,gene-PA1885
gene-PA0077,153.0,145.0,150.0,124.0,222.0,510.0,34.0,43.0,58.0,34.0,22.0,,host,icmF1
gene-PA1553,223.0,334.0,220.0,233.0,,302.0,,,33.0,,,96.0,host,ccoO1
gene-PA2060,4.0,3.0,12.0,3.0,1.0,99.0,0.0,2.0,11.0,0.0,0.0,166.0,host,gene-PA2060
gene-PA2916,2.0,1.0,7.0,1.0,0.0,66.0,1.0,0.0,5.0,0.0,1.0,103.0,host,gene-PA2916
gene-PA2400,,,,,,,,,,,,,host,pvdJ
gene-PA1009,72.0,56.0,34.0,52.0,53.0,198.0,8.0,17.0,17.0,3.0,5.0,168.0,host,gene-PA1009
gene-PA3833,32.0,34.0,176.0,16.0,27.0,79.0,5.0,5.0,10.0,2.0,2.0,71.0,host,gene-PA3833
gene-PA0318,214.0,159.0,87.0,78.0,99.0,203.0,20.0,27.0,19.0,11.0,,128.0,host,gene-PA0318
gene-PA0195.1,8.0,12.0,18.0,2.0,7.0,105.0,2.0,0.0,8.0,1.0,1.0,126.0,host,pntAB
gene-PA0155,17.0,4.0,39.0,8.0,4.0,261.0,6.0,3.0,31.0,4.0,1.0,322.0,host,pcaR
gene-PA4459,120.0,138.0,72.0,88.0,146.0,293.0,35.0,46.0,29.0,22.0,19.0,102.0,host,gene-PA4459
gene-PA0580,124.0,137.0,58.0,100.0,174.0,176.0,37.0,51.0,24.0,21.0,12.0,237.0,host,gcp
gene-PA3915,2.0,4.0,35.0,3.0,6.0,146.0,3.0,1.0,31.0,1.0,0.0,190.0,host,moaB1
gene-PA4409,,,168.0,,,273.0,36.0,54.0,25.0,27.0,15.0,218.0,host,ftsQ
gene-PA0831,64.0,44.0,23.0,15.0,25.0,196.0,8.0,12.0,20.0,6.0,6.0,319.0,host,oruR
gene-PA2971,,,,,,,,,68.0,,,100.0,host,gene-PA2971
gene-PA2083,13.0,12.0,39.0,8.0,9.0,164.0,1.0,0.0,15.0,1.0,1.0,188.0,host,gene-PA2083
gene-PA5052,20.0,28.0,45.0,24.0,30.0,89.0,6.0,7.0,13.0,5.0,4.0,114.0,host,gene-PA5052
gene-PA0361,74.0,69.0,42.0,62.0,92.0,205.0,14.0,16.0,26.0,11.0,5.0,343.0,host,gene-PA0361
gene-PA5439,120.0,74.0,47.0,29.0,37.0,250.0,13.0,12.0,27.0,4.0,7.0,427.0,host,gene-PA5439
gene-PA3424,12.0,16.0,24.0,14.0,19.0,118.0,5.0,5.0,28.0,3.0,2.0,165.0,host,gene-PA3424
gene-PA2905,1.0,2.0,4.0,1.0,8.0,43.0,1.0,1.0,3.0,0.0,0.0,61.0,host,cobH
gene-PA3115,,,,,,445.0,,,63.0,,,369.0,host,fimV
gene-PA3302,136.0,97.0,64.0,93.0,117.0,147.0,33.0,23.0,16.0,8.0,11.0,139.0,host,gene-PA3302
gene-PA3602,35.0,70.0,46.0,27.0,42.0,271.0,7.0,8.0,43.0,5.0,2.0,358.0,host,gene-PA3602
gene-PA0207,16.0,12.0,37.0,4.0,7.0,168.0,4.0,0.0,11.0,1.0,1.0,351.0,host,gene-PA0207
gene-PA3482,268.0,,216.0,,366.0,455.0,52.0,,52.0,,,277.0,host,metG
gene-PA2257,2.0,0.0,1.0,2.0,2.0,21.0,0.0,0.0,4.0,0.0,0.0,40.0,host,pvcD
gene-PA0728,39.0,46.0,,16.0,29.0,201.0,3.0,4.0,23.0,3.0,4.0,87.0,host,gene-PA0728
gene-PA2882,9.0,11.0,10.0,9.0,13.0,105.0,2.0,7.0,10.0,2.0,2.0,207.0,host,gene-PA2882
gene-PA4218,312.0,267.0,,,,259.0,62.0,,20.0,30.0,,219.0,host,gene-PA4218
gene-PA4606,,,,,,,,,59.0,,,401.0,host,gene-PA4606
gene-PA3446,5.0,3.0,23.0,1.0,4.0,157.0,1.0,0.0,11.0,2.0,2.0,222.0,host,gene-PA3446
gene-PA5489,,,241.0,,342.0,225.0,51.0,,35.0,,,80.0,host,dsbA
gene-PA0511,6.0,5.0,33.0,1.0,2.0,139.0,1.0,0.0,23.0,0.0,0.0,369.0,host,nirJ
gene-PA0940,38.0,21.0,6.0,37.0,24.0,55.0,12.0,17.0,7.0,1.0,3.0,21.0,host,gene-PA0940
gene-PA4807,88.0,56.0,20.0,41.0,45.0,148.0,6.0,9.0,16.0,6.0,6.0,311.0,host,selB
gene-PA4840,31.0,43.0,20.0,22.0,37.0,91.0,11.0,18.0,10.0,20.0,7.0,96.0,host,gene-PA4840
gene-PA4994,42.0,32.0,,15.0,33.0,264.0,6.0,4.0,,1.0,2.0,207.0,host,gene-PA4994
gene-PA0326,4.0,6.0,55.0,3.0,6.0,367.0,0.0,2.0,32.0,1.0,1.0,186.0,host,gene-PA0326
gene-PA4524,86.0,72.0,,86.0,94.0,226.0,22.0,22.0,35.0,10.0,13.0,219.0,host,nadC
gene-PA3839,54.0,36.0,,55.0,49.0,390.0,10.0,7.0,,4.0,6.0,,host,gene-PA3839
gene-PA4607,,,,,,226.0,,,33.0,,,120.0,host,gene-PA4607
gene-PA3336,10.0,19.0,99.0,2.0,27.0,124.0,1.0,8.0,11.0,3.0,1.0,204.0,host,gene-PA3336
gene-PA0412,,,132.0,,,200.0,48.0,43.0,25.0,24.0,14.0,353.0,host,pilK
gene-PA1116,51.0,71.0,43.0,61.0,86.0,205.0,22.0,27.0,18.0,12.0,16.0,159.0,host,gene-PA1116
gene-PA2115,37.0,23.0,22.0,18.0,27.0,93.0,9.0,8.0,12.0,3.0,2.0,100.0,host,gene-PA2115
gene-PA0220,43.0,28.0,65.0,9.0,9.0,313.0,2.0,10.0,24.0,2.0,3.0,454.0,host,gene-PA0220
gene-PA4350,15.0,6.0,37.0,5.0,5.0,81.0,0.0,2.0,9.0,0.0,1.0,123.0,host,gene-PA4350
gene-PA4552,82.0,93.0,70.0,169.0,154.0,235.0,21.0,12.0,27.0,7.0,10.0,173.0,host,pilW
gene-PA2565,14.0,15.0,8.0,12.0,17.0,59.0,2.0,3.0,8.0,2.0,1.0,78.0,host,gene-PA2565
gene-PA5348,,,246.0,,,150.0,35.0,44.0,,11.0,15.0,73.0,host,gene-PA5348
gene-PA0312,222.0,148.0,32.0,56.0,86.0,88.0,20.0,8.0,5.0,3.0,11.0,89.0,host,gene-PA0312
gene-PA0824,21.0,27.0,23.0,9.0,14.0,101.0,4.0,7.0,12.0,9.0,4.0,69.0,host,gene-PA0824
gene-PA0348,17.0,17.0,11.0,22.0,21.0,165.0,3.0,5.0,22.0,4.0,2.0,294.0,host,gene-PA0348
gene-PA0221,15.0,7.0,29.0,7.0,13.0,218.0,2.0,2.0,28.0,0.0,1.0,382.0,host,gene-PA0221
gene-PA2064,8.0,6.0,11.0,9.0,12.0,78.0,0.0,2.0,11.0,0.0,1.0,182.0,host,pcoB
gene-PA0274,9.0,5.0,18.0,6.0,5.0,141.0,1.0,0.0,14.0,0.0,2.0,339.0,host,gene-PA0274
gene-PA1325,5.0,4.0,6.0,7.0,11.0,64.0,2.0,5.0,6.0,1.0,0.0,160.0,host,gene-PA1325
gene-PA0076,26.0,40.0,26.0,20.0,42.0,63.0,4.0,9.0,11.0,3.0,6.0,138.0,host,gene-PA0076
gene-PA1529,178.0,190.0,97.0,,,353.0,46.0,67.0,31.0,36.0,22.0,394.0,host,lig
gene-PA0859,16.0,19.0,5.0,18.0,54.0,48.0,5.0,8.0,11.0,3.0,2.0,117.0,host,gene-PA0859
gene-PA1231,3.0,7.0,4.0,0.0,6.0,83.0,1.0,2.0,5.0,0.0,0.0,129.0,host,gene-PA1231
gene-PA3597,16.0,21.0,34.0,7.0,18.0,279.0,4.0,4.0,42.0,1.0,0.0,242.0,host,gene-PA3597
gene-PA0846,34.0,33.0,51.0,33.0,53.0,221.0,8.0,6.0,45.0,4.0,1.0,108.0,host,gene-PA0846
gene-PA4049,55.0,44.0,21.0,45.0,70.0,157.0,15.0,15.0,11.0,8.0,5.0,202.0,host,gene-PA4049
gene-PA1640,142.0,148.0,67.0,59.0,107.0,168.0,25.0,23.0,21.0,6.0,5.0,252.0,host,gene-PA1640
gene-PA3456,19.0,21.0,28.0,16.0,26.0,120.0,3.0,3.0,22.0,3.0,1.0,176.0,host,gene-PA3456
gene-PA2229,36.0,13.0,19.0,15.0,14.0,114.0,3.0,2.0,10.0,1.0,2.0,184.0,host,gene-PA2229
gene-PA3190,,,,,,429.0,,,,,,504.0,host,gene-PA3190
gene-PA0305,53.0,50.0,88.0,59.0,67.0,514.0,11.0,14.0,58.0,3.0,6.0,,host,gene-PA0305
