GeneID,Temporal_Class
gene-PHIKZ_p06,late
gene-PHIKZ_p88,early
gene-PHIKZ110,early
gene-PHIKZ240,early
gene-PHIKZ125,early
gene-PHIKZ179,late
gene-PHIKZ_p75,early
gene-PHIKZ_p68,early
gene-PHIKZ018,early
gene-PHIKZ019,early
gene-PHIKZ272,early
gene-PHIKZ182,late
gene-PHIKZ194,early
gene-PHIKZ248,late
gene-PHIKZ205,early
gene-PHIKZ_p79,early
gene-PHIKZ273,early
gene-PHIKZ_p48,late
gene-PHIKZ222,early
gene-PHIKZ138,late
gene-PHIKZ_p72,early
gene-PHIKZ302,late
gene-PHIKZ163,late
gene-PHIKZ_p10,late
gene-PHIKZ128,late
gene-PHIKZ241,late
gene-PHIKZ098,late
gene-PHIKZ236,early
gene-PHIKZ105,early
gene-PHIKZ199,late
gene-PHIKZ_p20,early
gene-PHIKZ115,early
gene-PHIKZ_p80,late
gene-PHIKZ284,early
gene-PHIKZ056,early
gene-PHIKZ229,early
gene-PHIKZ021,early
gene-PHIKZ_p07,late
gene-PHIKZ250,early
gene-PHIKZ099,late
gene-PHIKZ_p42,late
gene-PHIKZ249,late
gene-PHIKZ104,late
gene-PHIKZ_p89,early
gene-PHIKZ020,early
gene-PHIKZ_p04,late
gene-PHIKZ_p44,late
gene-PHIKZ133,late
gene-PHIKZ_p84,early
gene-PHIKZ045,early
gene-PHIKZ232,early
gene-PHIKZ132,late
gene-PHIKZ_p47,late
gene-PHIKZ093,late
gene-PHIKZ114,early
gene-PHIKZ140,late
gene-PHIKZ238,early
gene-PHIKZ259,early
gene-PHIKZ_p35,early
gene-PHIKZ175,late
gene-PHIKZ304,early
gene-PHIKZ_p45,late
gene-PHIKZ296,early
gene-PHIKZ064,early
gene-PHIKZ214,early
gene-PHIKZ_p14,late
gene-PHIKZ_p54,early
gene-PHIKZ247,late
gene-PHIKZ_p56,early
gene-PHIKZ_p61,early
gene-PHIKZ013,early
gene-PHIKZ030,late
gene-PHIKZ027,late
gene-PHIKZ265,late
gene-PHIKZ190,early
gene-PHIKZ_p09,late
gene-PHIKZ171,early
gene-PHIKZ254,early
gene-PHIKZ_p40,early
gene-PHIKZ_p31,early
gene-PHIKZ016,early
gene-PHIKZ135,late
gene-PHIKZ111,early
gene-PHIKZ144,late
gene-PHIKZ245,late
gene-PHIKZ251,late
gene-PHIKZ_p81,early
gene-PHIKZ023,early
gene-PHIKZ256,late
gene-PHIKZ100,late
gene-PHIKZ193,early
gene-PHIKZ227,early
gene-PHIKZ184,early
gene-PHIKZ_p03,early
gene-PHIKZ283,early
gene-PHIKZ237,early
gene-PHIKZ271,late
gene-PHIKZ015,early
gene-PHIKZ_p77,late
gene-PHIKZ142,late
gene-PHIKZ055,early
gene-PHIKZ234,early
gene-PHIKZ113,late
gene-PHIKZ_p37,early
gene-PHIKZ185,early
gene-PHIKZ107,early
gene-PHIKZ090,late
gene-PHIKZ092,late
gene-PHIKZ072,early
gene-PHIKZ108,late
gene-PHIKZ146,late
gene-PHIKZ_p53,early
gene-PHIKZ_p62,late
gene-PHIKZ076,late
gene-PHIKZ266,late
gene-PHIKZ279,late
gene-PHIKZ174,late
gene-PHIKZ119,late
gene-PHIKZ039,early
gene-PHIKZ_t04,early
gene-PHIKZ054,middle
gene-PHIKZ_p16,late
gene-PHIKZ_p76,early
gene-PHIKZ267,late
gene-PHIKZ_p50,late
gene-PHIKZ269,early
gene-PHIKZ233,early
gene-PHIKZ231,early
gene-PHIKZ_p21,early
gene-PHIKZ187,early
gene-PHIKZ081,early
gene-PHIKZ121,early
gene-PHIKZ270,late
gene-PHIKZ137,late
gene-PHIKZ260,early
gene-PHIKZ083,late
gene-PHIKZ244,early
gene-PHIKZ288,early
gene-PHIKZ165,early
gene-PHIKZ220,early
gene-PHIKZ170,late
gene-PHIKZ286,late
gene-PHIKZ050,late
gene-PHIKZ152,early
gene-PHIKZ198,late
gene-PHIKZ_p01,early
gene-PHIKZ036,late
gene-PHIKZ147,early
gene-PHIKZ041,early
gene-PHIKZ068,early
gene-PHIKZ257,early
gene-PHIKZ130,late
gene-PHIKZ_p55,late
gene-PHIKZ253,early
gene-PHIKZ_p22,early
gene-PHIKZ211,late
gene-PHIKZ080,late
gene-PHIKZ221,late
gene-PHIKZ_p71,early
gene-PHIKZ103,early
gene-PHIKZ069,early
gene-PHIKZ085,late
gene-PHIKZ195,late
gene-PHIKZ028,late
gene-PHIKZ_p86,late
gene-PHIKZ_p15,early
gene-PHIKZ112,early
gene-PHIKZ_p74,late
gene-PHIKZ101,late
gene-PHIKZ139,late
gene-PHIKZ189,early
gene-PHIKZ294,early
gene-PHIKZ305,early
gene-PHIKZ303,late
gene-PHIKZ047,early
gene-PHIKZ150,early
gene-PHIKZ_p49,late
gene-PHIKZ274,early
gene-PHIKZ_p02,late
gene-PHIKZ017,early
gene-PHIKZ088,late
gene-PHIKZ167,early
gene-PHIKZ004,late
gene-PHIKZ263,early
gene-PHIKZ180,late
gene-PHIKZ_p34,early
gene-PHIKZ216,early
gene-PHIKZ210,early
gene-PHIKZ_p69,late
gene-PHIKZ007,early
gene-PHIKZ012,early
gene-PHIKZ297,late
gene-PHIKZ003,late
gene-PHIKZ203,late
gene-PHIKZ_p90,early
gene-PHIKZ025,late
gene-PHIKZ298,late
gene-PHIKZ051,early
gene-PHIKZ_p27,late
gene-PHIKZ202,late
gene-PHIKZ087,late
gene-PHIKZ_p60,early
gene-PHIKZ_t07,early
gene-PHIKZ022,early
gene-PHIKZ_p32,late
gene-PHIKZ034,late
gene-PHIKZ156,late
gene-PHIKZ131,late
gene-PHIKZ_p51,late
gene-PHIKZ_t05,late
gene-PHIKZ209,early
gene-PHIKZ183,late
gene-PHIKZ301,early
gene-PHIKZ228,early
gene-PHIKZ038,early
gene-PHIKZ215,late
gene-PHIKZ_p43,early
gene-PHIKZ075,early
gene-PHIKZ_p28,early
gene-PHIKZ287,early
gene-PHIKZ223,late
gene-PHIKZ_p29,late
gene-PHIKZ116,late
gene-PHIKZ_p19,early
gene-PHIKZ141,late
gene-PHIKZ200,late
gene-PHIKZ_p91,early
gene-PHIKZ_p41,late
gene-PHIKZ285,late
gene-PHIKZ181,middle
gene-PHIKZ_p39,late
gene-PHIKZ031,early
gene-PHIKZ153,late
gene-PHIKZ243,early
gene-PHIKZ160,late
gene-PHIKZ033,early
gene-PHIKZ242,early
gene-PHIKZ078,early
gene-PHIKZ252,early
gene-PHIKZ_p18,early
gene-PHIKZ_p52,late
gene-PHIKZ_p17,early
gene-PHIKZ275,early
gene-PHIKZ061,early
gene-PHIKZ261,early
gene-PHIKZ043,early
gene-PHIKZ196,early
gene-PHIKZ_p26,late
gene-PHIKZ120,early
gene-PHIKZ035,late
gene-PHIKZ014,early
gene-PHIKZ006,early
gene-PHIKZ262,early
