GeneID,Temporal_Class
gene-phage515_00217,middle
gene-phage515_00174,middle
gene-phage515_00198,middle
gene-phage515_00146,middle
gene-phage515_00083,middle
gene-phage515_00211,early
gene-phage515_00158,middle
gene-phage515_00054,middle
gene-phage515_00012,early
gene-phage515_00049,middle
gene-phage515_00084,middle
gene-phage515_00232,early
gene-phage515_00018,early
gene-phage515_00234,early
gene-phage515_00011,early
gene-phage515_00072,middle
gene-phage515_00142,middle
gene-phage515_00043,middle
gene-phage515_00096,middle
gene-phage515_00048,middle
gene-phage515_00078,middle
gene-phage515_00106,early
gene-phage515_00145,middle
gene-phage515_00212,middle
gene-phage515_00035,middle
gene-phage515_00086,middle
gene-phage515_00029,middle
gene-phage515_00178,middle
gene-phage515_00065,middle
gene-phage515_00027,middle
gene-phage515_00007,middle
gene-phage515_00060,middle
gene-phage515_00207,middle
gene-phage515_00189A,middle
gene-phage515_00098,middle
gene-phage515_00032,middle
gene-phage515_00202,middle
gene-phage515_00199,middle
gene-phage515_00097,late
gene-phage515_00220,middle
gene-phage515_00042,middle
gene-phage515_00089A,middle
gene-phage515_00119,middle
gene-phage515_00137,middle
gene-phage515_00117,middle
gene-phage515_00059,middle
gene-phage515_00113,middle
gene-phage515_00057,middle
gene-phage515_00055,middle
gene-phage515_00100,middle
gene-phage515_00023,middle
gene-phage515_00129,middle
gene-phage515_00088,middle
gene-phage515_00123,middle
gene-phage515_00143,middle
gene-phage515_00227,early
gene-phage515_00020,middle
gene-phage515_00192,middle
gene-phage515_00050,middle
gene-phage515_00135,middle
gene-phage515_00121,middle
gene-phage515_00003,middle
gene-phage515_00225,early
gene-phage515_00009,early
gene-phage515_00196,middle
gene-phage515_00064,middle
gene-phage515_00195,middle
gene-phage515_00022,middle
gene-phage515_00216,middle
gene-phage515_00161,middle
gene-phage515_00191,middle
gene-phage515_00150,middle
gene-phage515_00174A,middle
gene-phage515_00221,middle
gene-phage515_00005,middle
gene-phage515_00101,middle
gene-phage515_00166,middle
gene-phage515_00089,middle
gene-phage515_00164,middle
gene-phage515_00085,middle
gene-phage515_00053,middle
gene-phage515_00040,early
gene-phage515_00139,middle
gene-phage515_00041,middle
gene-phage515_00118,middle
gene-phage515_00162,middle
gene-phage515_00182,middle
gene-phage515_00002,middle
gene-phage515_00061,middle
gene-phage515_00224,early
