GeneID,Temporal_Class
gene-T4p170,middle
gene-T4p046,early
gene-T4p017,early
gene-T4p212,middle
gene-T4p152,middle
gene-T4p002,early
gene-T4p239,early
gene-T4p110,early
gene-T4p204,early
gene-T4p062,early
gene-T4p219,early
gene-T4p214,early
gene-T4p041,middle
gene-T4p010,early
gene-T4p024,early
gene-T4p018,middle
gene-T4p220,middle
gene-T4p114,middle
gene-T4p275,early
gene-T4p140,late
gene-T4p094,early
gene-T4p149,middle
gene-T4p171,middle
gene-T4p155,middle
gene-T4p211,middle
gene-T4p037,early
gene-T4p020,early
gene-T4p128,early
gene-T4p100,early
gene-T4p193,middle
gene-T4p190,middle
gene-T4p043,middle
gene-T4p068,early
gene-T4p267,early
gene-T4p095,early
gene-T4p063,early
gene-T4p158,middle
gene-T4p188,middle
gene-T4p162,middle
gene-T4p086,early
gene-T4p180,early
gene-T4p232,middle
gene-T4p203,early
gene-T4p236,middle
gene-T4p196,middle
gene-T4p023,early
gene-T4p049,middle
gene-T4p001,middle
gene-T4p076,middle
gene-T4p221,middle
gene-T4p019,early
gene-T4p071,early
gene-T4p106,early
gene-T4p025,early
gene-T4p132,middle
gene-T4t004,middle
gene-T4p168,middle
gene-T4p151,middle
gene-T4p011,early
gene-T4p242,early
gene-T4p090,early
gene-T4p229,middle
gene-T4p205,early
gene-T4p147,middle
gene-T4p159,middle
gene-T4p080,middle
gene-T4p156,middle
gene-T4p187,middle
gene-T4p036,early
gene-T4p088,early
gene-T4p277,middle
gene-T4p182,middle
gene-T4p141,middle
gene-T4p120,early
gene-T4p118,early
gene-T4p034,early
gene-T4p243,middle
gene-T4p057,middle
gene-T4p143,middle
gene-T4p246,early
gene-T4p105,middle
gene-T4p245,middle
gene-T4p039,middle
gene-T4p125,early
gene-T4p215,early
gene-T4p099,early
gene-T4p189,middle
gene-T4p089,early
gene-T4p130,early
gene-T4p165,early
gene-T4p276,middle
gene-T4p268,early
gene-T4p072,middle
gene-T4p235,middle
gene-T4p272,early
gene-T4p266,early
gene-T4p157,middle
gene-T4p079,middle
gene-T4p103,middle
gene-T4p038,middle
gene-T4p177,middle
gene-T4p244,middle
gene-T4p081,early
gene-T4p004,early
gene-T4p146,middle
gene-T4p202,early
gene-T4p184,middle
gene-T4p115,middle
gene-T4p075,middle
gene-T4p111,late
gene-T4p131,early
gene-T4p250,late
gene-T4p240,early
gene-T4p007,early
gene-T4p067,early
gene-T4p231,middle
gene-T4p065,early
gene-T4p124,early
gene-T4p233,middle
gene-T4p161,middle
gene-T4p127,early
gene-T4p051,middle
gene-T4p251,late
gene-T4p008,early
gene-T4t007,middle
gene-T4p101,early
gene-T4p059,middle
gene-T4p109,early
gene-T4p083,middle
gene-T4p027,early
gene-T4p061,early
gene-T4p218,early
